ID,Qual Set,Average,Percent Error,Uncertainty,Our Code,Machine Code,Statement
473,0.083,0.189,0.228,0.624,,uncertainty,There could be error introduceed elsewhere
476,0.129,0.133,0.028,0.793,,uncertainty,"Calculating the mean and uncertainty, we get 2.096 +/- .02, and 2.01 does not fall within that range. "
477,0.855,0.13,0.014,0.129,,qualset,"The data is in a range above the prediction. Therefore, the data does not agree with the prediction."
478,0.074,0.069,0.12,0.895,,uncertainty,the value of predicted period of pendulum does not lie within two standard errors of the mean value.
480,0.106,0.613,0.052,0.043,,average,The value is lower than the average.
481,0.897,0.274,0.049,0.035,,qualset,They are pretty close
482,0.019,0.094,0.107,0.927,,uncertainty,average data within 1 standard error
483,0.267,0.162,0.03,0.601,,uncertainty,"The calculated mean and uncertainty is 2.09 plus or minus 0.02, which does not include 2.01."
484,0.371,0.551,0.023,0.091,,average,"None of the values they found were 2.01s, and the average was 2.238s, which is quite far from 2.01s."
485,0.466,0.248,0.073,0.071,,qualset,"I think the number of Trial 1,2,3,5 are too large than the prediction."
486,0.694,0.244,0.018,0.178,,qualset,It is too far away from 2.01 for it to agree.
488,0.467,0.055,0.014,0.859,,uncertainty,"After calculating the mean and standard error of the data the student obtained, 2.01 seconds does not fall within that distribution"
489,0.861,0.12,0.037,0.043,,qualset,The data is precise in comparison to each other but is not accurate with the expectation
491,0.903,0.322,0.024,0.053,,qualset,2.01 is close to the experimental values. 
492,0.47,0.214,0.142,0.181,,qualset,1
493,0.16,0.047,0.085,0.894,,uncertainty,"The calculated mean was 2.238 with a standard error of 0.1051, so 2.1 falls very low within this calculated range"
494,0.803,0.387,0.018,0.039,,qualset,Most of the numbers are very bigger than 2.01s. Only one time is very close to 2.01 while 4 of the numbers are not.
495,0.468,0.204,0.034,0.179,,qualset,I manually calculated the expected period using the period of a simple pendulum equation and it is very close to the prediction.
496,0.951,0.042,0.019,0.057,,qualset,All experimental values are out of the range of the expected value
498,0.877,0.19,0.019,0.06,,qualset,I said it does agree with the prediction because the prediction is within the measured data
499,0.107,0.019,0.021,0.958,,uncertainty,I calculated the mean and then standard deviation to also attain the standard error. Subtracting and adding the standard error to the mean yielded a range from 2.07 to 2.11 and the predicted value falls out of this range.
501,0.011,0.278,0.038,0.86,,uncertainty,The average value and standard deviation is unrealistic.
502,0.765,0.182,0.053,0.066,,qualset,I do think the data agrees with the prediction that the pendulum swing should come out to be around 2.1
503,0.765,0.241,0.114,0.188,,qualset,None
504,0.071,0.907,0.009,0.031,,average,The predicted would be the average of the trials which is higher than 2.01.
505,0.095,0.881,0.016,0.079,,average,"2.01 is quite close to the average value, 2.09."
506,0.902,0.214,0.014,0.052,,qualset,The data shows that 2.01s falls outside the window of measures values
