Student ID,Alex code,Eric code,Joseph code,Sean code,Katie code,Jenny code,,Agreement,Agreed answers,Resolved answers,2nd group resolved answers,final resolution,Comments,Statement,,,
81,qual set,0,Qual Set/Average,Dual,qual set/average,dual,,FALSE,,dual,qual set/average,dual,qual set/average,"None of the times are 2.01 seconds, the average is not 2.01 seconds, the median is not 2.01 seconds, and in fact, all of the results are above 2.01 seconds pretty significantly. ",,,
82,qual st,0,Qual Set,Qual Set,qual set,qual set,,FALSE,qual set,,,qual set,,most of the datas are around 2.1s,,,
83,other,0,Average,Average,average,average,,FALSE,average,,average,average,,Not closer to average,,,
84,average,0,Average,Average,average,average,,TRUE,qual set,,,qual set,,"The mean value of the periods in the experiment is 2.276. This value is .26 seconds away from the calculated value. Because the numbers we are dealing with are fairly small in this instance, .26 seconds has a significant impact and, as such, I believe that the data does not agree with the prediction.",,,
85,qual set,0,Other,Other,other,other,,FALSE,other,,other,other,unclear,One may say that it agrees but the difference is too much in my opinion. ,,,
86,qual set,0,Other,Qual Set,qual set,qual set,,FALSE,qual set,qual set,,qual set,,The data is all pretty close to 2.01,,,
88,other,0,Qual Set,Qual Set,qual set/other,other,,FALSE,,other,qual set,qual set,,"The real world cannot mirror ideal circumstances, and their data is precise enough to consider it a proper measurement although it is slightly off of the accurate value.",,,
90,qual set,0,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,,,qual set,,"From the data gathered above, the result of trial 4 appeared to agree with the prediction by a difference of 0.02s while the other four trials gave results that were not that close to the desired value. ",,,
92,none,0,None,None,none,none,,TRUE,none,,,none,,n/a,,,
93,qual set,0,Uncertainty,Other,qual set,other,,FALSE,,qual set,other,other,unclear,The error in the T values are is too much to be consider negligible ,,,
94,average,0,Percent error,Percent Error,percent error,percent error,,FALSE,percent error,,percent error,percent error,,The mean is 2.238 which is pretty far from the predicted value as we get the error to be 10.18%,,,
95,percent error,0,Percent error,Percent Error,percent error,percent error,,TRUE,percent error,,,percent error,,low percentage difference,,,
97,percent error,0,Percent Error,Percent Error,percent error,percent error,,TRUE,percent error,,,percent error,,The average period measured is less than 5% different from the predicted period.,,,
98,uncertainty,0,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,,,uncertainty,,The average was 2.10 Seconds. The uncertainty was 0.045 seconds. The period does not come around the average with the uncertainty.,,,
99,qual set,0,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,,,qual set,,The main reason for the decision is that the numbers are not that close to the prediction of 2.01 seconds,,,
100,qual set,0,Qual set,Qual Set,qual set,qual set,,TRUE,qual set,,,qual set,,"most of the data points, except for one, were a lot higher than the prediction",,,
102,none,0,None,None,none,none,,TRUE,none,,,none,,45g,,,
103,other,0,Qual Set,Qual Set,qual set,other,,FALSE,qual set,qual set,qual set,qual set,"looking at spread, clearly",the data is not consistent and doesnt give precise results back to back hence resulting in significant variation,,,
105,uncertainty,0,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,,,uncertainty,,Data is not withing standard error,,,
106,average,0,Average,Average,average,average,,TRUE,average,,,average,,The average of the trials is greater than the student&#39;s expected result.,,,
107,none,0,None,None,none,none,,TRUE,none,,,none,,Agree,,,
109,qual set,0,Other,Other,qual set,other,,FALSE,other,,other,other,unclear,The data is above the expected value.,,,
110,uncertainty,0,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,,,uncertainty,,use the t prime to compare these two value.,,,
111,qual set,0,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,,,qual set,,All of the times are greater than 2.01 s. ,,,
112,percent error,0,Percent Error,Percent Error,percent error,percent error,,TRUE,percent error,,,percent error,,The average period of the data is 2.238 which is an 11% error compared to the predicted value.,,,
114,uncertainty,0,Qual Set,Qual Set,qual set,uncertainty,,FALSE,qual set,qual set,qual set,qual set,,"The predicted period does not fall within the range of values as measured in the experiment, which is (2.276 &#177; 0.01711)s.",,,
115,uncertainty,0,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,,,uncertainty,,The calculated value falls within the standard error of the mean,,,
116,uncertainty,0,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,,,uncertainty,,"The average value of the trials is more than 2.01s, and the expected value is beyond the standard error and deviation, hence the data does not agree with the expectation",,,
117,qual set,0,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,,,qual set,,"While the data may not be accurate, it is precise. There may be some source of error causes the data to not average out to the calculated value of 2.01 ",,,
118,none,0,None,None,none,none,,TRUE,none,,,none,,k,,,
119,other,0,Qual Set,Qual Set,qual set,other,,FALSE,qual set,qual set,qual set,qual set,,Each value is about the same,,,
120,other,0,Other,Other,none,other,,FALSE,,,none,none,,The data agrees with the prediction,,,
121,average,0,Averge,Average,qual set,average,,FALSE,,,,dual,qual set/average,The center of the data group(the mean) is close enough to 2.01s. There may be some source of error that shift the center of the data little bit away from 2.01s.,,,
122,average,0,Uncertainty,Uncertainty,uncertainty/average,average,,FALSE,dual,dual,dual (uncertainty + average),dual,uncertainty/average,The prediction is nowhere close to the mean of the data with or without uncertainty.,,,
123,qual set,0,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,,,qual set,,The prediction is lower than all the trials,,,
125,uncertainty,0,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,,,uncertainty,,Because it doesnt lie in the range of the standard error of the mean.,,,
126,qual set,0,Qual Set,Dual,qual set/average,dual,,FALSE,dual,dual,dual (qual set + average),dual,qual set/average,"Data is a bit higher than the expected time, and all of the data is higher. The mean is definitely higher while 2.01 was never in the scope.",,,
127,qual set,0,Qual Set,Dual,qual set,qual set,,FALSE,qual set,,qual set,qual set,,"Without doing any formal calculation, I concluded that the prediction did not agree with the data.  This is due to the fact that 2.01 seconds is smaller than all the data collected which means it would be below what the calculated average would be.  ",,,
129,average,0,Average,Average,average,average,,TRUE,average,,,average,,average frim data much larger than prediction,,,
130,qual set,0,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,,,qual set,,All of the times are significantly off of the expected value,,,
131,average,0,Average,Average,average,average,,TRUE,average,,,average,,The data supports an average period of 2.096. This is extremely close to 2.01 so the student&#39;s data agrees with the prediction.,,,
132,average,0,average,Average,average,average,,TRUE,average,,,average,,"Because according to the five trails, the averge value of T should be 2.28. There is a huge difference between 2.28 and 2.01 compared with their own magnitude.",,,
134,qual set,0,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,,,qual set,,No data points are close enough to the expected time. There is too big of a range to agree.,,,
135,none,0,None,None,none,none,,TRUE,none,,,none,, ,,,
136,qual set,0,qual set,Qual Set,qual set,qual set,,TRUE,qual set,,,qual set,,"2.01 s is like the lowest end of the actual results they have gotten. The 2nd lowest period time they recorded out of the five was 2.16 s, so this person is a bit off already.",,,
